GNES,NIES
GNET,NIET
GNER,NIER
GNE,NE
GI,JI
GNI,NI
GNA,NIA
GNOU,NIOU
GNUR,NIUR
GY,JI
OUGAIN,OUGIN
AGEOL,AJOL
AGEOT,AJOT
GEOLO,JEOLO
GEOM,JEOM
GEOP,JEOP
GEOG,JEOG
GEOS,JEOS
GEORG,JORJ
GEOR,JEOR
NGEOT,NJOT
UGEOT,UJOT
GEOT,JEOT
GEOD,JEOD
GEOC,JEOC
GEO,JO
GEA,JA
GE,JE
QU,K
Q,K
CY,SI
CI,SI
CN,KN
ICM,IKM
CEAT,SAT
CE,SE
CR,KR
CO,KO
CUEI,KEI
CU,KU
VENCA,VANSA
CA,KA
CS,KS
CLEN,KLAN
CL,KL
CZ,KZ
CTIQ,KTIK
CTIF,KTIF
CTIC,KTIS
CTIS,KTIS
CTIL,KTIL
CTIO,KSIO
CTI,KTI
CTU,KTU
CTE,KTE
CTO,KTO
CTR,KTR
CT,KT
PH,F
TH,T
OW,OU
LH,L
RDL,RL
CHLO,KLO
CHR,KR
PTIA,PSIA
GU([^RLMBSTPZN]),G$1
GNO([MLTNRKG]),NIO$1
GNO([MLTNRKG]),NIO$1