OMT,ONT
IMB,INB
IMP,INP
UMD,OND
TIENT,TIANT
RIENT,RIANT
DIENT,DIANT
IEN,IN
YMU,IMU
YMO,IMO
YMA,IMA
YME,IME
YMI,IMI
YMN,IMN
YM,IN
AHO,AO
FAIM,FIN
DAIM,DIN
SAIM,SIN
EIN,AIN
AINS,INS
AIN$,IN
AIN([BTDK]),IN$1
([^O])UND,$1IND
([JTVLFMRPSBD])UN([^IAE]),$1IN$2
([JTVLFMRPSBD])UN$,$1IN
RFUM$,RFIN
LUMB,LINB
([^BCDFGHJKLMNPQRSTVWXZ])EN,$1AN
([VTLJMRPDSBFKNG])EN([BRCTDKZSVN]),$1AN$2
([VTLJMRPDSBFKNG])EN([BRCTDKZSVN]),$1AN$2
^EN([BCDFGHJKLNPQRSTVXZ]|CH|IV|ORG|OB|UI|UA|UY),AN$1
(^[JRVTH])EN([DRTFGSVJMP]),$1AN$2
SEN([ST]),SAN$1
^DESENIV,DESANIV
([^M])EN(UI),$1AN$2
(.+[JTVLFMRPSBD])EN([JLFDSTG]),$1AN$2
([VSBSTNRLPM])E[IY]([ACDFRJLGZ]),$1AI$2